AB,H,2B,3B,HR,BB,HBP,IBB,SB,CS,GIDP,SH,SF,BA,OBP,SLG,OPS,TB,RC,TA,ISO,SECA,RC27,HIT
352,89,27,1,12,23,7,6,1,0,0,0,4,0.253,0.308,0.438,0.746,154,50.2019689119,0.703422053232,0.185,0.252840909091,5.07660359783,0
158,41,10,0,7,11,2,0,2,1,0,0,1,0.259,0.314,0.456,0.77,72,23.708255814,0.728813559322,0.197,0.272151898734,5.37918409224,1
180,51,8,0,13,18,2,0,0,0,0,0,0,0.283,0.355,0.544,0.899,98,36.636,0.914728682171,0.261,0.361111111111,7.668,0
188,49,14,1,4,14,1,2,4,0,0,3,1,0.261,0.314,0.41,0.723,77,26.1379710145,0.690647482014,0.149,0.244680851064,4.93514138036,0
257,79,16,0,23,29,3,0,0,0,0,0,7,0.307,0.375,0.638,1.013,164,65.985,1.10112359551,0.331,0.443579766537,9.63024324324,1
297,68,18,3,12,24,1,1,2,3,0,1,2,0.229,0.287,0.431,0.718,128,37.8941538462,0.655172413793,0.202,0.279461279461,4.35379639935,0
393,113,29,3,20,19,4,0,9,3,0,1,3,0.288,0.325,0.529,0.854,208,69.901,0.837455830389,0.241,0.30534351145,6.57605226481,1
217,53,11,1,5,10,5,5,0,0,0,0,0,0.244,0.293,0.373,0.666,81,24.5034482759,0.585365853659,0.129,0.175115207373,4.03410428932,0
271,86,19,1,4,17,1,1,1,2,0,1,3,0.317,0.356,0.439,0.795,119,43.870443686,0.727272727273,0.122,0.180811808118,6.20158104462,0
290,74,14,0,13,30,1,1,0,0,0,0,3,0.255,0.324,0.438,0.762,127,44.1907407407,0.731481481481,0.183,0.286206896552,5.44817351598,1
198,34,7,1,6,33,2,0,1,2,0,0,2,0.172,0.294,0.308,0.602,61,20.4307234043,0.572289156627,0.136,0.29797979798,3.28350911854,0
374,125,23,2,9,39,2,3,14,1,0,3,1,0.334,0.399,0.479,0.878,179,78.0658711217,0.932,0.145,0.283422459893,8.29834063105,1
365,105,22,3,7,37,8,2,2,1,0,0,1,0.288,0.365,0.422,0.787,154,60.4483211679,0.766283524904,0.134,0.238356164384,6.22940714326,1
320,79,12,2,13,23,4,1,21,4,0,1,1,0.247,0.305,0.419,0.723,134,44.6344985673,0.726530612245,0.172,0.296875,4.87907474218,1
139,36,8,1,2,11,2,0,1,1,0,0,1,0.259,0.32,0.374,0.694,52,17.7003921569,0.625,0.115,0.194244604317,4.55152941176,1
305,85,26,2,12,14,2,1,1,0,0,0,2,0.279,0.313,0.495,0.808,151,48.9240247678,0.763636363636,0.216,0.265573770492,5.95021922852,1
203,40,5,0,2,9,0,0,3,2,0,0,0,0.197,0.231,0.251,0.482,51,12.1712264151,0.369696969697,0.054,0.103448275862,1.99165523156,0
327,102,19,2,23,48,0,4,2,1,0,0,3,0.312,0.397,0.593,0.99,194,82.0051851852,1.07522123894,0.281,0.43119266055,9.66873362445,1
181,49,6,1,6,15,4,2,9,2,0,1,0,0.271,0.34,0.414,0.754,75,27.7856716418,0.753731343284,0.143,0.265193370166,5.55713432836,0
329,95,23,6,18,13,5,5,17,1,0,0,3,0.289,0.323,0.559,0.882,184,63.2896,0.927659574468,0.27,0.358662613982,7.17991260504,1
138,29,4,0,1,20,5,3,2,1,0,0,0,0.21,0.331,0.261,0.592,36,13.9035582822,0.563636363636,0.051,0.202898550725,3.41269157836,0
278,71,13,1,5,32,2,1,0,1,0,3,3,0.255,0.333,0.363,0.697,101,36.8578616352,0.644230769231,0.108,0.219424460432,4.65029095398,1
148,31,11,0,6,34,1,2,2,2,0,0,1,0.209,0.359,0.405,0.764,60,24.3965217391,0.798319327731,0.196,0.425675675676,5.4892173913,0
148,31,6,0,2,11,0,0,1,1,0,0,1,0.209,0.263,0.291,0.553,43,12.018125,0.457627118644,0.082,0.155405405405,2.72680147059,0
