FIRST_NAME,LAST_NAME,BA,OBP,SLG,OPS,TA,ISO,SECA,RC27
Jose,Abreu,0.258,0.319,0.455,0.774,0.744107744108,0.197,0.2725,5.52041039672
Matt,Adams,0.285,0.36,0.547,0.907,0.928104575163,0.262,0.359813084112,7.84223480187
Ehire,Adrianza,0.25,0.313,0.387,0.7,0.666666666667,0.137,0.245098039216,4.64452425713
Jesus,Aguilar,0.28,0.356,0.582,0.938,0.990867579909,0.302,0.421052631579,8.11691626957
Nick,Ahmed,0.239,0.29,0.446,0.736,0.667924528302,0.207,0.274052478134,4.55103262007
Ozzie,Albies,0.282,0.317,0.511,0.828,0.802631578947,0.229,0.291169451074,6.16425048046
Jorge,Alfaro,0.257,0.309,0.403,0.712,0.643617021277,0.146,0.197628458498,4.67384699625
Albert,Almora,0.31,0.346,0.423,0.769,0.689814814815,0.113,0.167741935484,5.75883538084
Yonder,Alonso,0.265,0.334,0.473,0.807,0.790983606557,0.208,0.313253012048,6.1255353187
Aaron,Altherr,0.171,0.29,0.305,0.595,0.5625,0.134,0.285714285714,3.2076567597
Jose,Altuve,0.329,0.392,0.464,0.857,0.894160583942,0.135,0.267813267813,7.85022026432
Brian,Anderson,0.285,0.366,0.415,0.781,0.761904761905,0.13,0.234146341463,6.16111674459
Tim,Anderson,0.241,0.291,0.402,0.693,0.675958188153,0.161,0.268096514745,4.41816753658
Miguel,Andujar,0.293,0.325,0.491,0.817,0.771084337349,0.198,0.247159090909,6.26234481429
Orlando,Arcia,0.202,0.24,0.257,0.497,0.378531073446,0.055,0.105504587156,2.09285471098
Nolan,Arenado,0.306,0.392,0.594,0.986,1.06563706564,0.288,0.435483870968,9.48110340042
Javier,Baez,0.295,0.326,0.561,0.887,0.922794117647,0.266,0.34725848564,7.22322767188
Tucker,Barnhart,0.252,0.336,0.371,0.707,0.665236051502,0.119,0.241935483871,4.7989958159
Tim,Beckham,0.224,0.285,0.333,0.618,0.541401273885,0.109,0.189054726368,3.48910782891
Josh,Bell,0.266,0.347,0.402,0.749,0.725868725869,0.136,0.266288951841,5.54864986499
Cody,Bellinger,0.24,0.324,0.459,0.783,0.788194444444,0.219,0.353562005277,5.71170340005
Brandon,Belt,0.278,0.372,0.47,0.842,0.871681415929,0.192,0.335463258786,7.04654197477
Adrian,Beltre,0.292,0.342,0.404,0.747,0.698412698413,0.112,0.191011235955,5.53365018491
Andrew,Benintendi,0.3,0.384,0.512,0.895,0.996282527881,0.212,0.396866840731,8.34543836813
Mookie,Betts,0.344,0.429,0.659,1.087,1.29824561404,0.315,0.504373177843,12.3123444976
Charlie,Blackmon,0.291,0.361,0.505,0.866,0.866666666667,0.214,0.316582914573,7.20340257936
